nationalBoundaryIdentifier,settlementDate,settlementPeriod,recordType,publishingPeriodCommencingTime,demand,activeFlag,spnDemand,spnGeneration
N,2022-01-01,30,DAIG,2022-01-01 14:15:00,,Y,,27017
N,2022-01-01,31,DAIG,2022-01-01 14:45:00,,Y,,28213
N,2022-01-01,32,DAIG,2022-01-01 15:15:00,,Y,,29068
N,2022-01-01,33,DAIG,2022-01-01 15:45:00,,Y,,31133
N,2022-01-01,34,DAIG,2022-01-01 16:15:00,,Y,,31935
N,2022-01-01,35,DAIG,2022-01-01 16:45:00,,Y,,32699
N,2022-01-01,36,DAIG,2022-01-01 17:15:00,,Y,,32682
N,2022-01-01,37,DAIG,2022-01-01 17:45:00,,Y,,31953
N,2022-01-01,38,DAIG,2022-01-01 18:15:00,,Y,,31689
N,2022-01-01,39,DAIG,2022-01-01 18:45:00,,Y,,31331
N,2022-01-01,40,DAIG,2022-01-01 19:15:00,,Y,,30150
N,2022-01-01,41,DAIG,2022-01-01 19:45:00,,Y,,27485
N,2022-01-01,42,DAIG,2022-01-01 20:15:00,,Y,,26967
N,2022-01-01,43,DAIG,2022-01-01 20:45:00,,Y,,26682
N,2022-01-01,44,DAIG,2022-01-01 21:15:00,,Y,,26312
N,2022-01-01,45,DAIG,2022-01-01 21:45:00,,Y,,25226
N,2022-01-01,46,DAIG,2022-01-01 22:15:00,,Y,,25279
N,2022-01-01,47,DAIG,2022-01-01 22:45:00,,Y,,23906
N,2022-01-01,48,DAIG,2022-01-01 23:15:00,,Y,,23641
N,2022-01-02,1,DAIG,2022-01-01 23:45:00,,Y,,23360
N,2022-01-02,2,DAIG,2022-01-02 00:15:00,,Y,,23300
N,2022-01-02,3,DAIG,2022-01-02 00:45:00,,Y,,23601
N,2022-01-02,4,DAIG,2022-01-02 01:15:00,,Y,,23480
N,2022-01-02,5,DAIG,2022-01-02 01:45:00,,Y,,22682
N,2022-01-02,6,DAIG,2022-01-02 02:15:00,,Y,,22739
N,2022-01-02,7,DAIG,2022-01-02 02:45:00,,Y,,22663
N,2022-01-02,8,DAIG,2022-01-02 03:15:00,,Y,,22504
N,2022-01-02,9,DAIG,2022-01-02 03:45:00,,Y,,22836
N,2022-01-02,10,DAIG,2022-01-02 04:15:00,,Y,,22797
N,2022-01-02,11,DAIG,2022-01-02 04:45:00,,Y,,22888
N,2022-01-02,12,DAIG,2022-01-02 05:15:00,,Y,,22794
N,2022-01-02,13,DAIG,2022-01-02 05:45:00,,Y,,22962
N,2022-01-02,14,DAIG,2022-01-02 06:15:00,,Y,,22999
N,2022-01-02,15,DAIG,2022-01-02 06:45:00,,Y,,23159
N,2022-01-02,16,DAIG,2022-01-02 07:15:00,,Y,,23401
N,2022-01-02,17,DAIG,2022-01-02 07:45:00,,Y,,23343
N,2022-01-02,18,DAIG,2022-01-02 08:15:00,,Y,,23492
N,2022-01-02,19,DAIG,2022-01-02 08:15:00,,Y,,23710
N,2022-01-02,20,DAIG,2022-01-02 09:15:00,,Y,,23985
N,2022-01-02,21,DAIG,2022-01-02 09:45:00,,Y,,25417
N,2022-01-02,22,DAIG,2022-01-02 10:15:00,,Y,,26094
N,2022-01-02,23,DAIG,2022-01-02 10:45:00,,Y,,26911
N,2022-01-02,24,DAIG,2022-01-02 11:15:00,,Y,,27176
N,2022-01-02,25,DAIG,2022-01-02 11:45:00,,Y,,28658
N,2022-01-02,26,DAIG,2022-01-02 12:15:00,,Y,,28842
N,2022-01-02,27,DAIG,2022-01-02 12:45:00,,Y,,29487
N,2022-01-02,28,DAIG,2022-01-02 13:15:00,,Y,,29490
N,2022-01-02,29,DAIG,2022-01-02 13:45:00,,Y,,29353
N,2022-01-02,30,DAIG,2022-01-02 14:15:00,,Y,,30600
N,2022-01-02,31,DAIG,2022-01-02 14:45:00,,Y,,31172
N,2022-01-02,32,DAIG,2022-01-02 15:15:00,,Y,,31901
N,2022-01-02,33,DAIG,2022-01-02 15:45:00,,Y,,33134
N,2022-01-02,34,DAIG,2022-01-02 16:15:00,,Y,,34128
N,2022-01-02,35,DAIG,2022-01-02 16:45:00,,Y,,35231
N,2022-01-02,36,DAIG,2022-01-02 17:15:00,,Y,,34910
N,2022-01-02,37,DAIG,2022-01-02 17:45:00,,Y,,34116
